Artikelnummer;Produktnamn;Pris exkl. moms;KategoriID;Dölj produkt
INTECKNINGBRSILVER;"";236,0000;;
INTECKNINGBRSILVER;"";236,0000;;
L100;"Pokal Riviera Trophy";24060,0000;"253";0
L100C;"";24060,0000;;
L100B;"";15616,0000;;
L100A;"";10792,0000;;
L558;"Pokal Tenby Laurel Wreath";14500,0000;"253";1
L558C;"";14500,0000;;
PSL558B;"";12180,0000;;
PSL558A;"";9268,0000;;
L567;"Pokal The Heroes Cup 460 mm hög";45220,0000;"253";0
L567.attr1;"";45220,0000;;
L467;"";33160,0000;;
L801C.strk1;"Pokal The Winners Cup - plain 410 mm hög";9348,0000;"253";0
L801C;"";9348,0000;;
Lackadmassing.strk1;"Svartlackad mässing";200,0000;"132";0
Lackadmassing.attr1;"";200,0000;;
Lackadmassing.attr2;"";216,0000;;
Lagercranz Group;"Lagercranz Group";0,0000;"";1
MASSINGINTECK;"Mässing skylt med max mått 50x25mm";192,0000;"294";0
MASSINGINTECK_001;"";192,0000;;
MASSINGINTECK_002;"";192,0000;;
MASSINGINTECK_003;"";192,0000;;
MASSINGINTECK_004;"";192,0000;;
MASSINGINTECK_005;"";192,0000;;
MASSINGINTECK_006;"";192,0000;;
MASSINGINTECK_007;"";192,0000;;
MASSINGINTECK_008;"";192,0000;;
MASSINGINTECK_009;"";192,0000;;
MASSINGINTECK_010;"";192,0000;;
MASSINGINTECK_011;"";192,0000;;
MASSINGINTECK_012;"";192,0000;;
MASSINGINTECK_013;"";192,0000;;
MASSINGINTECK_014;"";192,0000;;
MASSINGINTECK_015;"";192,0000;;
MASSINGINTECK_016;"";192,0000;;
MASSINGINTECK_017;"";192,0000;;
MASSINGINTECK_018;"";192,0000;;
MASSINGINTECK_019;"";192,0000;;
MASSINGINTECK_020;"";192,0000;;
MASSINGINTECK_021;"";192,0000;;
MASSINGINTECK_022;"";192,0000;;
MASSINGINTECK_023;"";192,0000;;
MASSINGINTECK_024;"";192,0000;;
MASSINGINTECK_025;"";192,0000;;
MASSINGINTECK_026;"";192,0000;;
MASSINGINTECK_027;"";192,0000;;
MASSINGINTECK_028;"";192,0000;;
MASSINGINTECK1;"Mässing skylt med max mått 80x40mm";272,0000;"294";0
MASSINGINTECK1_001;"";272,0000;;
MASSINGINTECK1_002;"";272,0000;;
MASSINGINTECK1_003;"";272,0000;;
MASSINGINTECK1_004;"";272,0000;;
MASSINGINTECK1_005;"";272,0000;;
MASSINGINTECK1_006;"";272,0000;;
MASSINGINTECK1_007;"";272,0000;;
MASSINGINTECK1_008;"";272,0000;;
MASSINGINTECK1_009;"";272,0000;;
MASSINGINTECK1_010;"";272,0000;;
MASSINGINTECK1_011;"";272,0000;;
MASSINGINTECK1_012;"";272,0000;;
MASSINGINTECK1_013;"";272,0000;;
MASSINGINTECK1_014;"";272,0000;;
MASSINGINTECK1_015;"";272,0000;;
MASSINGINTECK1_016;"";272,0000;;
MASSINGINTECK1_017;"";272,0000;;
MASSINGINTECK1_018;"";272,0000;;
MASSINGINTECK1_019;"";272,0000;;
MASSINGINTECK1_020;"";272,0000;;
MASSINGINTECK1_021;"";272,0000;;
MASSINGINTECK1_022;"";272,0000;;
MASSINGINTECK1_023;"";272,0000;;
MASSINGINTECK1_024;"";272,0000;;
MASSINGINTECK1_025;"";272,0000;;
MASSINGINTECK1_026;"";272,0000;;
MASSINGINTECK1_027;"";272,0000;;
MASSINGINTECK1_028;"";272,0000;;
MASSINGINTECK2;"Mässing skylt med max mått 120x60mm";376,0000;"294";0
MASSINGINTECK2_001;"";376,0000;;
MASSINGINTECK2_002;"";376,0000;;
MASSINGINTECK2_003;"";376,0000;;
MASSINGINTECK2_004;"";376,0000;;
MASSINGINTECK2_005;"";376,0000;;
MASSINGINTECK2_006;"";376,0000;;
MASSINGINTECK2_007;"";376,0000;;
MASSINGINTECK2_008;"";376,0000;;
MASSINGINTECK2_009;"";376,0000;;
MASSINGINTECK2_010;"";376,0000;;
MASSINGINTECK2_011;"";376,0000;;
MASSINGINTECK2_012;"";376,0000;;
MASSINGINTECK2_013;"";376,0000;;
MASSINGINTECK2_014;"";376,0000;;
MASSINGINTECK2_015;"";376,0000;;
MASSINGINTECK2_016;"";376,0000;;
MASSINGINTECK2_017;"";376,0000;;
MASSINGINTECK2_018;"";376,0000;;
MASSINGINTECK2_019;"";376,0000;;
MASSINGINTECK2_020;"";376,0000;;
MASSINGINTECK2_021;"";376,0000;;
MASSINGINTECK2_022;"";376,0000;;
MASSINGINTECK2_023;"";376,0000;;
MASSINGINTECK2_024;"";376,0000;;
MASSINGINTECK2_025;"";376,0000;;
MASSINGINTECK2_026;"";376,0000;;
MASSINGINTECK2_027;"";376,0000;;
MASSINGINTECK2_028;"";376,0000;;
McDonalds;"McDonalds";0,0000;"";0
multibasketboll.strk1;"Basketboll 120mm";52,0000;"184";0
multibasketboll;"";52,0000;;
multibasketboll.attr1;"";84,0000;;
multiinnebandy.strk1;"Floorball 120mm";56,0000;"191";0
multiinnebandy;"";56,0000;;
multiinnebandy.attr1;"";80,0000;;
NSAluminium;"Aluminium Guld";160,0000;"132";0
NSAluminiumguldRN;"";160,0000;;
NSAluminiumRM;"";176,0000;;
NSaluminsilver;"Aluminium Silver";160,0000;"132";0
NSaluminsilverRN;"";160,0000;;
NSaluminsilverRM;"";176,0000;;
NSplasoval;"Plast Oval Silver";160,0000;"132";0
NSplasovalN;"";160,0000;;
NSplasovalM;"";176,0000;;
NSplastoval;"Plast Oval Guld";160,0000;"132";0
NSplastovalN;"";160,0000;;
NSplastovalM;"";176,0000;;
nybrohasthopp.strk1;"Glas Hästhoppning 175x170mm";520,0000;"190";0
nybrohasthopp;"";520,0000;;
nybrohasthopp.attr1;"";600,0000;;
Nysilvertunna;"Nysilvertunna";344,0000;"125";1
Orrefors Eva Attling Wine;"Wine rödvinsglas";1200,0000;"";0
P00001;"Specialmedalj stor";0,0000;"246";0
P000010;"Special";0,0000;"246";0
P000011;"Special";0,0000;"246";0
P00002;"Specialmedalj stor";0,0000;"246";0
P000021;"Special";0,0000;"246";0
P000032;"Special";0,0000;"246";0
P000041;"Special";0,0000;"246";0
P00005;"Golfbricka-badge med spänne";0,0000;"227;246";0
P00006;"Medalj mynt - 2 sidor prägling 3mm tjock.";0,0000;"220;246";1
P00007;"Special";0,0000;"246";0
P00008;"Special";0,0000;"246";0
P00009;"Special";0,0000;"246";0
P0003;"Specialmedalj";0,0000;"246";0
P0004;"Special";0,0000;"246";0
PA Tennplakett;"Tennplakett, stämplad";920,0000;"122";0
PHÄ1Tennplakett;"";920,0000;;
PHÄ1Tennplakett.attr1;"";1160,0000;;
PHÄ2Tennplakett;"";760,0000;;
PHÄ2Tennplakett.attr1;"";1000,0000;;
PHÄ3Tennplakett;"";560,0000;;
PHÄ3Tennplakett.attr1;"";800,0000;;
PA107590A;"Kungasvärd på Tavla";3200,0000;"";1
PA470050036.strk1;"Akryldiplom rak kant";840,0000;"122;228";0
PA470050036;"";840,0000;;
Pa300x210x25;"";1960,0000;;
PA470050036F.strk1;"Akryldiplom fasad kant";920,0000;"122;228";0
PA470050036F;"";920,0000;;
APa300x210x25;"";2280,0000;;
PA78830C;"Classic Achievement Award 275mm";3400,0000;"127";0
PA79055A;"Cubix Glas Amber 240mm";1800,0000;"127";0
PA79055A;"";1800,0000;;
PA79055A;"";1800,0000;;
PA79055G;"Cubix Glas Green 240mm";1800,0000;"127";0
PA79055G;"";1800,0000;;
PA79055G;"";1800,0000;;
PA79060;"Cubic Glass Curved 240mm";1800,0000;"127";0
PA79060;"";1800,0000;;
PA79060;"";1800,0000;;
PARunsten.strk1;"Runsten";192,0000;"122;194";0
PARunsten;"";192,0000;;
PARunsten.attr1;"";232,0000;;
PBA1.strk1;"Jetonger 25 mm, flera idrotter, guld, silver,brons";3,0000;"258";0
PBA1.attr1;"";3,0000;;
PBA1.attr2;"";3,0000;;
PBA1.attr3;"";3,0000;;
PBA1.attr4;"";3,0000;;
PBA1.attr5;"";3,0000;;
PBA1.attr6;"";3,0000;;
PBA1.attr7;"";3,0000;;
PBA1.attr8;"";3,0000;;
PBA1.attr9;"";3,0000;;
PBA1.attr10;"";3,0000;;
PBA1.attr11;"";3,0000;;
PBA1.attr12;"";3,0000;;
PBA1.attr13;"";3,0000;;
PBA1.attr14;"";3,0000;;
PBA1.attr15;"";3,0000;;
PBA1.attr16;"";3,0000;;
PBA1.attr17;"";3,0000;;
PBA1.attr18;"";3,0000;;
PBA1.attr19;"";3,0000;;
PBA1.attr20;"";3,0000;;
PBA1.attr21;"";3,0000;;
PBA1.attr22;"";3,0000;;
PBA1.attr23;"";3,0000;;
PBA1.attr24;"";3,0000;;
PBA1.attr25;"";3,0000;;
PBA1.attr26;"";3,0000;;
PBA1.attr27;"";3,0000;;
PBA1.attr28;"";3,0000;;
PBA1.attr29;"";3,0000;;
PBA1.attr30;"";3,0000;;
PBA1.attr31;"";3,0000;;
PBA1.attr32;"";3,0000;;
PBA1.attr33;"";3,0000;;
PBA1.attr34;"";3,0000;;
PBA1.attr35;"";3,0000;;
PBA1.attr36;"";3,0000;;
PBA1.attr37;"";3,0000;;
PBA1.attr38;"";3,0000;;
PBA1.attr39;"";3,0000;;
PBA1.attr40;"";3,0000;;
PBA1.attr41;"";3,0000;;
PBA1.attr42;"";3,0000;;
PBA1.attr43;"";3,0000;;
PBA1.attr44;"";3,0000;;
PBA1.attr45;"";3,0000;;
PBA1.attr46;"";3,0000;;
PBA1.attr47;"";3,0000;;
PBA1.attr48;"";3,0000;;
PBA1.attr49;"";3,0000;;
PBA1.attr70;"";3,0000;;
PBA1.attr71;"";3,0000;;
PBA1.attr72;"";3,0000;;
PBA1.attr73;"";3,0000;;
PBA1.attr74;"";3,0000;;
PBA1.attr75;"";3,0000;;
PBA1.attr76;"";3,0000;;
PBA1.attr77;"";3,0000;;
PBA1.attr78;"";3,0000;;
PBA1.attr79;"";3,0000;;
PBA1.attr50;"";3,0000;;
PBA1.attr51;"";3,0000;;
PBA1.attr52;"";3,0000;;
PBA1.attr53;"";3,0000;;
PBA1.attr54;"";3,0000;;
PBA1.attr55;"";3,0000;;
PBA1.attr56;"";3,0000;;
PBA1.attr57;"";3,0000;;
PBA1.attr58;"";3,0000;;
PBA1.attr59;"";3,0000;;
PBA1.attr60;"";3,0000;;
PBA1.attr61;"";3,0000;;
PBA1.attr62;"";3,0000;;
PBA1.attr63;"";3,0000;;
PBA1.attr64;"";3,0000;;
PBA1.attr65;"";3,0000;;
PBA1.attr66;"";3,0000;;
PBA1.attr67;"";3,0000;;
PBA1.attr68;"";3,0000;;
PBA1.attr69;"";3,0000;;
PBA2.strk1;"Jetong 50 mm, flera idrotter";7,0000;"258";0
PBA2.attr1;"";7,0000;;
PBA2.attr2;"";7,0000;;
PBA2.attr3;"";7,0000;;
PBA2.attr4;"";7,0000;;
PBA2.attr5;"";7,0000;;
PBA2.attr6;"";7,0000;;
PBA2.attr7;"";7,0000;;
PBA2.attr8;"";7,0000;;
PBA2.attr9;"";7,0000;;
PBA2.attr10;"";7,0000;;
PBA2.attr11;"";7,0000;;
PBA2.attr12;"";7,0000;;
PBA2.attr13;"";7,0000;;
PBA2.attr14;"";7,0000;;
PBA2.attr15;"";7,0000;;
PBA2.attr16;"";7,0000;;
PBA2.attr17;"";7,0000;;
PBA2.attr18;"";7,0000;;
PBA2.attr19;"";7,0000;;
PBA2.attr20;"";7,0000;;
PBA2.attr21;"";7,0000;;
PBA2.attr22;"";7,0000;;
PBA2.attr23;"";7,0000;;
PBA2.attr24;"";7,0000;;
PBArnold1;"Pokal Arnold";312,0000;"250";0
PBArnold2;"";312,0000;;
PBArnold2.attr1;"";352,0000;;
PBArnold2.attr2;"";472,0000;;
PBB120BL;"Medaljask 45/50 mm";88,0000;"248;290";0
PBB121BL;"Medaljask 60/70 mm ";88,0000;"248;290";0
PBB150.09;"Medaljask 40/45/50 mm";21,6000;"248;290";0
PBB200;"Jetongask";14,4000;"248;290";1
PBBenny1;"Pokal Benny - 5 storlekar";120,0000;"250";0
PBBenny5.strk5;"";120,0000;;
PBBenny5.strk5.grav;"";156,0000;;
PBBenny4.strk4;"";144,0000;;
PBBenny4.strk4.grav;"";184,0000;;
PBBenny3.strk3;"";172,0000;;
PBBenny3.strk3.grav;"";212,0000;;
PBBenny2.strk2;"";208,0000;;
PBBenny2.strk2.grav;"";248,0000;;
PBBenny1.strk1;"";264,0000;;
PBBenny1.strk1.grav;"";304,0000;;
PBBetty.L.BODYHERR;"Bodybuildingpokal Herr 3 storlekar";224,0000;"276";0
PBBetty3.L.BODYHERR;"";224,0000;;
PBBetty2.L.BODYHERR;"";272,0000;;
PBBetty1.L.BODYHERR;"";352,0000;;
PBBetty3.L.BODYHERR.attr1;"";264,0000;;
PBBetty2.L.BODYHERR.attr1;"";312,0000;;
PBBetty1.L.BODYHERR.attr1;"";412,0000;;
PBBetty1.strk1;"Pokal Betty - 5 storlekar";120,0000;"250";0
PBBetty5;"";120,0000;;
PBBetty5.attr1;"";156,0000;;
PBBetty4;"";144,0000;;
PBBetty4.attr1;"";184,0000;;
PBBetty3;"";172,0000;;
PBBetty3.attr1;"";212,0000;;
PBBetty2;"";208,0000;;
PBBetty2.attr1;"";248,0000;;
PBBetty1;"";264,0000;;
PBBetty1.attr1;"";304,0000;;
PBBIEFG268XXL.strk1;"Dam Fotboll XXL";1240,0000;"186";0
PBBIEFG268XXL.attr1;"";1240,0000;;
PBBIEFG4071XXL;"Groove Motorsport XXL";2080,0000;"198";0
PBBIEFG4071XXL.attr1;"";2080,0000;;
PBBIEFG4071XXL.attr2;"";2160,0000;;
PBBrottningGrea;"Brottnings figur 200mm foliegravyr ingår";48,0000;"196";0
PBBrottningGrea_001;"";48,0000;;
PBCM67201;"Pokal Tove - 5 storlekar gravyr ingår";780,0000;"186;191;192;194;196;251;276;283;286";0
PBTove1;"";780,0000;;
PBTove2;"";592,0000;;
PBTove3;"";508,0000;;
PBTove4;"";396,0000;;
PBTove5;"";356,0000;;
PBCM67202;"Pokal Theo - 5 storlekar gravyr ingår";780,0000;"251";0
PBTheo1;"";780,0000;;
PBTheo2;"";592,0000;;
PBTheo3;"";508,0000;;
PBTheo4;"";396,0000;;
PBTheo5;"";356,0000;;
PBCM964;"PBCM964-1";992,0000;"198;211";0
PBCM964-1.attr1;"";992,0000;;
PBD105;"Nyckelring CL";36,8000;"186;211";0
PBD106.01;"PBD106 säljs komplett med band från 50-pack.";400,0000;"245";0
PBD106.01.attr50;"";400,0000;;
PBD106.01.attr100;"";800,0000;;
PBD106.01.attr250;"";2000,0000;;
PBD106.01.attr500;"";4000,0000;;
PBD109.01.attr0;"Medalj PBD109 ";9,6000;"244";0
PBD109.01;"";9,6000;;
PBD109.01.attr1;"";17,6000;;
PBD109.01.attr2;"";22,4000;;
PBD109.01.attr3;"";33,6000;;
PBD109.01.attr4;"";16,8000;;
PBD109.01.attr5;"";20,8000;;
PBD109.01.attr6;"";15,2000;;
PBD109.01.attr7;"";19,2000;;
PBD109.02;"";9,6000;;
PBD109.02.attr1;"";17,6000;;
PBD109.02.attr2;"";22,4000;;
PBD109.02.attr3;"";33,6000;;
PBD109.02.attr4;"";16,8000;;
PBD109.02.attr5;"";20,8000;;
PBD109.02.attr6;"";15,2000;;
PBD109.02.attr7;"";19,2000;;
PBD109.26;"";9,6000;;
PBD109.26.attr1;"";17,6000;;
PBD109.26.attr2;"";22,4000;;
PBD109.26.attr3;"";33,6000;;
PBD109.26.attr4;"";16,8000;;
PBD109.26.attr5;"";20,8000;;
PBD109.26.attr6;"";15,2000;;
PBD109.26.attr7;"";19,2000;;
PBD109.ORIENTERING;"Medalj Orientering";12,8000;"211";0
PBD109.01.ORIENTERINGG;"";12,8000;;
PBD109.01.ORIENTERING.attr1;"";20,8000;;
PBD109.02.ORIENTERINGS;"";12,8000;;
PBD109.02.ORIENTERING.attr1;"";20,8000;;
PBD109.26.ORIENTERINGB;"";12,8000;;
PBD109.26.ORIENTERING.attr1;"";20,8000;;
PBD112B01.strk1;"Medalj Löpning 50mm";13,6000;"187;211;245";1
PBD112B01;"";13,6000;;
PBD112B01.attr1;"";25,6000;;
PBD112D01.strk1;"Medalj Kampsport 50mm";13,6000;"196;245";0
PBD112D01;"";13,6000;;
PBD112D01.attr1;"";25,6000;;
PBD112D02;"";13,6000;;
PBD112D02.attr1;"";25,6000;;
PBD112D26;"";13,6000;;
PBD112D26.attr1;"";25,6000;;
PBD112L01.strk1;"Medalj Ishockey 50mm";13,6000;"192;245";0
PBD112L01;"";13,6000;;
PBD112L01.attr1;"";25,6000;;
PBD112L02;"";13,6000;;
PBD112L02.attr1;"";25,6000;;
PBD112L26;"";13,6000;;
PBD112L26.attr1;"";25,6000;;
PBD115GG;"Vinkel Plakett liten gravyr ingår";52,0000;"122";0
PBD115GG;"";52,0000;;
PBD115ZG;"";52,0000;;
PBD115BG;"";52,0000;;
PBD116GG;"Vinkel Plakett stor 98 x 70 mm";56,0000;"122";0
PBD116ZG;"";56,0000;;
PBD116BG;"";56,0000;;
PBD12A.strk1;"Medalj PBD12A";10,4000;"244";0
PBD12AGG;"";10,4000;;
PBD12AGG.attr1;"";18,4000;;
PBD12AGG.attr2;"";22,4000;;
PBD12AGG.attr3;"";34,4000;;
PBD12AGG.attr4;"";16,8000;;
PBD12AGG.attr5;"";20,8000;;
PBD12AGG.attr6;"";15,2000;;
PBD12AGG.attr7;"";19,2000;;
PBD12AZG;"";10,4000;;
PBD12AZG.attr1;"";18,4000;;
PBD12AZG.attr2;"";22,4000;;
PBD12AZG.attr3;"";34,4000;;
PBD12AZG.attr4;"";16,8000;;
PBD12AZG.attr5;"";20,8000;;
PBD12AZG.attr6;"";15,2000;;
PBD12AZG.attr7;"";19,2000;;
PBD12ABA;"";10,4000;;
PBD12ABA.attr1;"";18,4000;;
PBD12ABA.attr2;"";22,4000;;
PBD12ABA.attr3;"";34,4000;;
PBD12ABA.attr4;"";16,8000;;
PBD12ABA.attr5;"";20,8000;;
PBD12ABA.attr6;"";15,2000;;
PBD12ABA.attr7;"";19,2000;;
PBD26AGA.strk1;"Placerings medalj";15,2000;"244";0
PBD26BZA.attr1;"";15,2000;;
PBD26CBA.attr1;"";15,2000;;
PBD38GG.strk1;"Medalj Sweden";18,4000;"244";0
PBD38GG;"";18,4000;;
PBD38GG.attr1;"";26,4000;;
PBD38GG.attr2;"";39,2000;;
PBD38GG.attr3;"";24,8000;;
PBD38GG.attr4;"";37,6000;;
PBD38GG.attr5;"";23,2000;;
PBD38GG.attr6;"";36,0000;;
PBD47.01.strk1;"Medalj Flingan";13,6000;"206;244";0
PBD47.01;"";13,6000;;
PBD47.01.attr1;"";21,6000;;
PBD47.01.attr2;"";25,6000;;
PBD47.01.attr3;"";37,6000;;
PBD47.01.attr4;"";20,0000;;
PBD47.01.attr5;"";24,0000;;
PBD47.01.attr6;"";18,4000;;
PBD47.01.attr7;"";22,4000;;
PBD47.02;"";13,6000;;
PBD47.02.attr1;"";21,6000;;
PBD47.02.attr2;"";25,6000;;
PBD47.02.attr3;"";37,6000;;
PBD47.02.attr4;"";20,0000;;
PBD47.02.attr5;"";24,0000;;
PBD47.02.attr6;"";18,4000;;
PBD47.02.attr7;"";22,4000;;
PBD47.27;"";13,6000;;
PBD47.27.attr1;"";21,6000;;
PBD47.27.attr2;"";25,6000;;
PBD47.27.attr3;"";37,6000;;
PBD47.27.attr4;"";20,0000;;
PBD47.27.attr5;"";24,0000;;
PBD47.27.attr6;"";18,4000;;
PBD47.27.attr7;"";22,4000;;
PBD50BGA.strk1;"Medalj PBD50B";14,4000;"245";0
PBD50BGA;"";14,4000;;
PBD50BGA.attr1;"";26,4000;;
PBD50BZA;"";14,4000;;
PBD50BZA.attr1;"";26,4000;;
PBD50BBA;"";14,4000;;
PBD50BBA.attr1;"";26,4000;;
PBD61GG.strk1;"Medalj PBD61 50mm";13,6000;"186;245";0
PBD61GG;"";13,6000;;
PBD61GG.attr1;"";21,6000;;
PBD61ZG;"";13,6000;;
PBD61ZG.attr1;"";21,6000;;
PBD61BG;"";13,6000;;
PBD61BG.attr1;"";21,6000;;
PBD70.01;"Medalj PBD70";8,8000;"289";1
PBD70.02;"";8,8000;;
PBD70.27;"";8,8000;;
PBD77AGG.strk1;"Medalj PBD77A";14,4000;"244";0
PBD77AGG;"";14,4000;;
PBD77AGG.attr1;"";22,4000;;
PBD77AGG.attr2;"";35,2000;;
PBD77AGG.attr3;"";20,8000;;
PBD77AGG.attr4;"";33,6000;;
PBD77AGG.attr5;"";19,2000;;
PBD77AGG.attr6;"";32,0000;;
PBD77AZG;"";14,4000;;
PBD77AZG.attr1;"";22,4000;;
PBD77AZG.attr2;"";35,2000;;
PBD77AZG.attr3;"";20,8000;;
PBD77AZG.attr4;"";33,6000;;
PBD77AZG.attr5;"";19,2000;;
PBD77AZG.attr6;"";32,0000;;
PBD77ABA;"";14,4000;;
PBD77ABA.attr1;"";22,4000;;
PBD77ABA.attr2;"";35,2000;;
PBD77ABA.attr3;"";20,8000;;
PBD77ABA.attr4;"";33,6000;;
PBD77ABA.attr5;"";19,2000;;
PBD77ABA.attr6;"";32,0000;;
PBD77AGGGOS.strk1;"PBD8AGÖS 50mm";18,2000;"200";0
PBD77AGGGOS;"";18,2000;;
PBD77AZGGOS;"";18,2000;;
PBD77ABAGOS;"";18,2000;;
PBD77BGG.strk1;"Fotbollsmedalj 50mm";18,4000;"186;245";0
PBD77BGG;"";18,4000;;
PBD77BGG.attr1;"";26,4000;;
PBD77BZG;"";18,4000;;
PBD77BZG.attr1;"";26,4000;;
PBD77BBA;"";18,4000;;
PBD77BBA.attr1;"";26,4000;;
PBD77CG.strk1;"Medalj PBD77C";14,4000;"204;245";1
PBD77CGG;"";14,4000;;
PBD77CGG.attr1;"";22,4000;;
PBD77CZG;"";14,4000;;
PBD77CZG.attr1;"";22,4000;;
PBD77CBA;"";14,4000;;
PBD77CBA.attr1;"";22,4000;;
PBD7AGA.strk1;"Medalj PBD7A";16,0000;"244";0
PBD7AGA;"";16,0000;;
PBD7AGA.attr1;"";23,2000;;
PBD7AGA.attr2;"";36,0000;;
PBD7AGA.attr3;"";21,6000;;
PBD7AGA.attr4;"";34,4000;;
PBD7AGA.attr5;"";20,0000;;
PBD7AGA.attr6;"";32,8000;;
PBD7AZA;"";16,0000;;
PBD7AZA.attr1;"";23,2000;;
PBD7AZA.attr2;"";36,0000;;
PBD7AZA.attr3;"";21,6000;;
PBD7AZA.attr4;"";34,4000;;
PBD7AZA.attr5;"";20,0000;;
PBD7AZA.attr6;"";32,8000;;
PBD7ABA;"";16,0000;;
PBD7ABA.attr1;"";23,2000;;
PBD7ABA.attr2;"";36,0000;;
PBD7ABA.attr3;"";21,6000;;
PBD7ABA.attr4;"";34,4000;;
PBD7ABA.attr5;"";20,0000;;
PBD7ABA.attr6;"";32,8000;;
PBD8AGA.strk1;"Medalj PBD8A";36,0000;"244";0
PBD8AGA;"";36,0000;;
PBD8AGA.attr1;"";48,0000;;
PBD8AGA.attr2;"";60,8000;;
PBD8AGA.attr3;"";45,6000;;
PBD8AGA.attr4;"";58,4000;;
PBD8AGA.attr5;"";44,0000;;
PBD8AGA.attr6;"";56,8000;;
PBD8AZA;"";36,0000;;
PBD8AZA.attr1;"";48,0000;;
PBD8AZA.attr2;"";60,8000;;
PBD8AZA.attr3;"";45,6000;;
PBD8AZA.attr4;"";58,4000;;
PBD8AZA.attr5;"";44,0000;;
PBD8AZA.attr6;"";56,8000;;
PBD8ABA;"";36,0000;;
PBD8ABA.attr1;"";48,0000;;
PBD8ABA.attr2;"";60,8000;;
PBD8ABA.attr3;"";45,6000;;
PBD8ABA.attr4;"";58,4000;;
PBD8ABA.attr5;"";44,0000;;
PBD8ABA.attr6;"";56,8000;;
PBD8AGFISK.strk1;"Medalj Fiske 70mm";39,2000;"200";0
PBD8AGFISK;"";39,2000;;
PBD8AGFISK.attr1;"";51,2000;;
PBD8ASFISK;"";39,2000;;
PBD8ASFISK.attr1;"";51,2000;;
PBD8ABFISK;"";39,2000;;
PBD8ABFISK.attr1;"";51,2000;;
PBD8AGGGOS.strk1;"PBD8AGÖS 70mm";39,2000;"200";0
PBD8AGGGOS;"";39,2000;;
PBD8AZGGOS;"";39,2000;;
PBD8ABAGOS;"";39,2000;;
PBD8APOKERG.strk1;"Medalj Poker 70mm";39,2000;"220";0
PBD8APOKERG;"";39,2000;;
PBD8APOKERG.attr1;"";51,2000;;
PBD8APOKERS;"";39,2000;;
PBD8APOKERS.attr1;"";51,2000;;
PBD8APOKERB;"";39,2000;;
PBD8APOKERB.attr1;"";51,2000;;
PBD8DGA.strk1;"Medalj PBD8D";36,0000;"244";0
PBD8DGA;"";36,0000;;
PBD8DGA.attr1;"";48,0000;;
PBD8DGA.attr2;"";60,8000;;
PBD8DGA.attr3;"";45,6000;;
PBD8DGA.attr4;"";58,4000;;
PBD8DGA.attr5;"";44,0000;;
PBD8DGA.attr6;"";56,8000;;
PBD8DZA;"";36,0000;;
PBD8DZA.attr1;"";48,0000;;
PBD8DZA.attr2;"";60,8000;;
PBD8DZA.attr3;"";45,6000;;
PBD8DZA.attr4;"";58,4000;;
PBD8DZA.attr5;"";44,0000;;
PBD8DZA.attr6;"";56,8000;;
PBD8DBA;"";36,0000;;
PBD8DBA.attr1;"";48,0000;;
PBD8DBA.attr2;"";60,8000;;
PBD8DBA.attr3;"";45,6000;;
PBD8DBA.attr4;"";58,4000;;
PBD8DBA.attr5;"";44,0000;;
PBD8DBA.attr6;"";56,8000;;
PBD8DGAGADDA.strk1;"PBD8AGÄDDA 70mm";39,2000;"200";0
PBD8DGAGADDA;"";39,2000;;
PBD8DZAGADDA;"";39,2000;;
PBD8DBAGADDA;"";39,2000;;
PBD8DGFISK.strk1;"Medalj Fiske 70mm";39,2000;"200";0
PBD8DGFISK;"";39,2000;;
PBD8DGFISK.attr1;"";51,2000;;
PBD8DSFISK;"";39,2000;;
PBD8DSFISK.attr1;"";51,2000;;
PBD8DBFISK;"";39,2000;;
PBD8DBFISK.attr1;"";51,2000;;
PBDC00101;"Medalj Pokal Mini";19,2000;"244;250";1
PBDI320601V8BLGE.strk1;"PBDI320601 32mm säljs komplett med band från 50-pack.";400,0000;"244";0
PBDI320601V8BLGE.attr50;"";400,0000;;
PBDI320601V8BLGE.attr100;"";800,0000;;
PBDI320601V8BLGE.attr250;"";2000,0000;;
PBDI320601V8BLGE.attr500;"";4000,0000;;
PBDI5008.01.strk1;"Medalj PBDI5008";12,8000;"244";0
PBDI5008.01;"";12,8000;;
PBDI5008.01.attr1;"";20,8000;;
PBDI5008.01.attr2;"";24,8000;;
PBDI5008.01.attr3;"";36,8000;;
PBDI5008.01.attr4;"";19,2000;;
PBDI5008.01.attr5;"";23,2000;;
PBDI5008.01.attr6;"";18,4000;;
PBDI5008.01.attr7;"";21,6000;;
PBDI5008.02;"";12,8000;;
PBDI5008.02.attr1;"";20,8000;;
PBDI5008.02.attr2;"";24,8000;;
PBDI5008.02.attr3;"";36,8000;;
PBDI5008.02.attr4;"";19,2000;;
PBDI5008.02.attr5;"";23,2000;;
PBDI5008.02.attr6;"";17,6000;;
PBDI5008.02.attr7;"";21,6000;;
PBDI5008.27;"";12,8000;;
PBDI5008.27.attr1;"";20,8000;;
PBDI5008.27.attr2;"";24,8000;;
PBDI5008.27.attr3;"";36,8000;;
PBDI5008.27.attr4;"";19,2000;;
PBDI5008.27.attr5;"";23,2000;;
PBDI5008.27.attr6;"";17,6000;;
PBDI5008.27.attr7;"";21,6000;;
PBDM931101.attr1;"Medalj PBDM9311";9,6000;"244";0
PBDM931101;"";9,6000;;
PBDM931101.grav10;"";17,6000;;
